	File Num	BIN	HEX
0	-39	100111	FFFFFFD9
1	-36	100100	FFFFFFDC
2	8	1000	8
3	34	100010	22
4	17	10001	11
5	49	110001	31
6	5	101	5
7	ABC	Error	Error
8	0	0	0
9	33	100001	21
10	12	1100	C
11	-6	110	FFFFFFFA
12	27	11011	1B
13	-4	100	FFFFFFFC
14	-38	100110	FFFFFFDA
15	26	11010	1A
16	49	110001	31
17	29	11101	1D
18	42	101010	2A
19	-16	10000	FFFFFFF0
20	ERR	Error	Error
21	34	100010	22
22	20	10100	14
23	0	0	0
24	25	11001	19
25	45	101101	2D
26	3	11	3
27	-46	101110	FFFFFFD2
28	-46	101110	FFFFFFD2
29	29	11101	1D
30	33	100001	21
31	29	11101	1D
32	26	11010	1A
33	-5	101	FFFFFFFB
34	-36	100100	FFFFFFDC
35	12	1100	C
36	45	101101	2D
37	-50	110010	FFFFFFCE
38	0	0	0
39	-6	110	FFFFFFFA
40	VAL	Error	Error

Time elapsed: 0.0 seconds
