	File Num	BIN	HEX
0	-39	100111	FFFFFFD9
1	-36	100100	FFFFFFDC
2	8	1000	8
3	34	100010	22
4	17	10001	11
5	49	110001	31
6	5	101	5
7	39	100111	27
8	0	0	0
9	33	100001	21
10	12	1100	C
11	-6	110	FFFFFFFA
12	27	11011	1B
13	-4	100	FFFFFFFC
14	-38	100110	FFFFFFDA
15	26	11010	1A
16	49	110001	31
17	29	11101	1D
18	42	101010	2A
19	-16	10000	FFFFFFF0
20	-28	11100	FFFFFFE4
21	34	100010	22
22	20	10100	14
23	0	0	0
24	25	11001	19
25	45	101101	2D
26	3	11	3
27	-46	101110	FFFFFFD2
28	-46	101110	FFFFFFD2
29	29	11101	1D
30	33	100001	21
31	29	11101	1D
32	26	11010	1A
33	-5	101	FFFFFFFB
34	-36	100100	FFFFFFDC
35	12	1100	C
36	45	101101	2D
37	-50	110010	FFFFFFCE
38	0	0	0
39	-6	110	FFFFFFFA
40	-39	100111	FFFFFFD9
41	35	100011	23
42	26	11010	1A
43	-35	100011	FFFFFFDD
44	-42	101010	FFFFFFD6
45	14	1110	E
46	-3	11	FFFFFFFD
47	22	10110	16
48	-47	101111	FFFFFFD1
49	12	1100	C
50	-17	10001	FFFFFFEF
51	-31	11111	FFFFFFE1
52	-25	11001	FFFFFFE7
53	-35	100011	FFFFFFDD
54	-18	10010	FFFFFFEE
55	14	1110	E
56	37	100101	25
57	-8	1000	FFFFFFF8
58	-41	101001	FFFFFFD7
59	-50	110010	FFFFFFCE
60	-9	1001	FFFFFFF7
61	2	10	2
62	12	1100	C
63	-39	100111	FFFFFFD9
64	-17	10001	FFFFFFEF
65	0	0	0
66	27	11011	1B
67	28	11100	1C
68	45	101101	2D
69	-44	101100	FFFFFFD4
70	28	11100	1C
71	35	100011	23
72	-33	100001	FFFFFFDF
73	43	101011	2B
74	-4	100	FFFFFFFC
75	23	10111	17
76	-49	110001	FFFFFFCF
77	49	110001	31
78	-7	111	FFFFFFF9
79	-38	100110	FFFFFFDA
80	-45	101101	FFFFFFD3
81	5	101	5
82	-21	10101	FFFFFFEB
83	26	11010	1A
84	-2	10	FFFFFFFE
85	-24	11000	FFFFFFE8
86	6	110	6
87	-45	101101	FFFFFFD3
88	-4	100	FFFFFFFC
89	15	1111	F
90	0	0	0
91	-17	10001	FFFFFFEF
92	-35	100011	FFFFFFDD
93	43	101011	2B
94	45	101101	2D
95	-35	100011	FFFFFFDD
96	-8	1000	FFFFFFF8
97	28	11100	1C
98	47	101111	2F
99	34	100010	22
100	-24	11000	FFFFFFE8
101	-42	101010	FFFFFFD6
102	-13	1101	FFFFFFF3
103	14	1110	E
104	-45	101101	FFFFFFD3
105	-35	100011	FFFFFFDD
106	27	11011	1B
107	-12	1100	FFFFFFF4
108	-19	10011	FFFFFFED
109	-20	10100	FFFFFFEC
110	-14	1110	FFFFFFF2
111	20	10100	14
112	30	11110	1E
113	12	1100	C
114	-36	100100	FFFFFFDC
115	-47	101111	FFFFFFD1
116	-27	11011	FFFFFFE5
117	-3	11	FFFFFFFD
118	6	110	6
119	36	100100	24
120	9	1001	9
121	-16	10000	FFFFFFF0
122	36	100100	24
123	-27	11011	FFFFFFE5
124	7	111	7
125	-6	110	FFFFFFFA
126	-5	101	FFFFFFFB
127	5	101	5
128	47	101111	2F
129	23	10111	17
130	-48	110000	FFFFFFD0
131	-24	11000	FFFFFFE8
132	40	101000	28
133	-4	100	FFFFFFFC
134	-18	10010	FFFFFFEE
135	-19	10011	FFFFFFED
136	14	1110	E
137	15	1111	F
138	1	1	1
139	24	11000	18
140	-9	1001	FFFFFFF7
141	-50	110010	FFFFFFCE
142	18	10010	12
143	15	1111	F
144	30	11110	1E
145	44	101100	2C
146	9	1001	9
147	19	10011	13
148	33	100001	21
149	41	101001	29
150	-24	11000	FFFFFFE8
151	43	101011	2B
152	48	110000	30
153	-23	10111	FFFFFFE9
154	7	111	7
155	28	11100	1C
156	8	1000	8
157	-2	10	FFFFFFFE
158	37	100101	25
159	42	101010	2A
160	-17	10001	FFFFFFEF
161	-6	110	FFFFFFFA
162	36	100100	24
163	22	10110	16
164	27	11011	1B
165	31	11111	1F
166	-47	101111	FFFFFFD1
167	-43	101011	FFFFFFD5
168	0	0	0
169	27	11011	1B
170	30	11110	1E
171	12	1100	C
172	-15	1111	FFFFFFF1
173	-19	10011	FFFFFFED
174	-42	101010	FFFFFFD6
175	-37	100101	FFFFFFDB
176	31	11111	1F
177	-10	1010	FFFFFFF6
178	18	10010	12
179	33	100001	21
180	-15	1111	FFFFFFF1
181	17	10001	11
182	25	11001	19
183	-25	11001	FFFFFFE7
184	-5	101	FFFFFFFB
185	33	100001	21
186	-13	1101	FFFFFFF3
187	33	100001	21
188	-10	1010	FFFFFFF6
189	47	101111	2F
190	47	101111	2F
191	-13	1101	FFFFFFF3
192	-32	100000	FFFFFFE0
193	1	1	1
194	1	1	1
195	-25	11001	FFFFFFE7
196	-33	100001	FFFFFFDF
197	16	10000	10
198	17	10001	11
199	4	100	4

Time elapsed: 0.0 seconds
