	File Num	BIN	HEX
0	7116776	11011001001011111101000	6C97E8
1	1666340	110010110110100100100	196D24
2	8886983	100001111001101011000111	879AC7
3	839365	11001100111011000101	CCEC5
4	924280	11100001101001111000	E1A78
5	1026310	11111010100100000110	FA906
6	1615293	110001010010110111101	18A5BD
7	1063875	100000011101111000011	103BC3
8	679035	10100101110001111011	A5C7B
9	5201970	10011110110000000110010	4F6032
10	593979	10010001000000111011	9103B
11	801371	11000011101001011011	C3A5B
12	3796878	1110011110111110001110	39EF8E
13	7489201	11100100100011010110001	7246B1
14	9740020	100101001001111011110100	949EF4
15	9128737	100010110100101100100001	8B4B21
16	5473463	10100111000010010110111	5384B7
17	8701957	100001001100100000000101	84C805
18	8238050	11111011011001111100010	7DB3E2
19	8679038	100001000110111001111110	846E7E
20	385912	1011110001101111000	5E378
21	5867340	10110011000011101001100	59874C
22	4894542	10010101010111101001110	4AAF4E
23	8999451	100010010101001000011011	89521B
24	4392535	10000110000011001010111	430657
25	2078131	111111011010110110011	1FB5B3
26	3070124	1011101101100010101100	2ED8AC
27	7451998	11100011011010101011110	71B55E
28	5635510	10101011111110110110110	55FDB6
29	1233932	100101101010000001100	12D40C
30	6089867	10111001110110010001011	5CEC8B
31	1792316	110110101100100111100	1B593C
32	6298637	11000000001110000001101	601C0D
33	2408038	1001001011111001100110	24BE66
34	8510100	100000011101101010010100	81DA94
35	991581	11110010000101011101	F215D
36	6455739	11000101000000110111011	6281BB
37	7829175	11101110111011010110111	7776B7
38	6328931	11000001001001001100011	609263
39	9982305	100110000101000101100001	985161
40	2292022	1000101111100100110110	22F936
41	1070496	100000101010110100000	1055A0
42	8518360	100000011111101011011000	81FAD8
43	6378470	11000010101001111100110	6153E6
44	7756258	11101100101100111100010	7659E2
45	7111767	11011001000010001010111	6C8457
46	2685897	1010001111101111001001	28FBC9
47	617946	10010110110111011010	96DDA
48	246280	111100001000001000	3C208
49	6075442	10111001011010000110010	5CB432
50	991323	11110010000001011011	F205B
51	6754202	11001110000111110011010	670F9A
52	3103178	1011110101100111001010	2F59CA
53	3228842	1100010100010010101010	3144AA
54	6786623	11001111000111000111111	678E3F
55	5329085	10100010101000010111101	5150BD
56	2334647	1000111001111110110111	239FB7
57	7253396	11011101010110110010100	6EAD94
58	6516953	11000110111000011011001	6370D9
59	5972725	10110110010001011110101	5B22F5
60	5828037	10110001110110111000101	58EDC5
61	6642265	11001010101101001011001	655A59
62	2559699	1001110000111011010011	270ED3
63	6597631	11001001010101111111111	64ABFF
64	5826202	10110001110011010011010	58E69A
65	4642335	10001101101011000011111	46D61F
66	1862900	111000110110011110100	1C6CF4
